num,category,title,population
164, 기타," 아버지를 음주운전으로 사망하게 한 가해자가 집행유예를 받았습니다
"," 1,229
												"
165, 육아/교육," '영토교육'은 다음 생에
"," 1,205
												"
166, 보건복지," 친정어머니가 백신 부작용으로 급성백혈병 진단받으셨습니다
"," 1,205
												"
167, 인권/성평등," 장인앞에서 일본도 로 아내살해 한 남편 피의자 40대 신상공개 재요청 촉구합니다
"," 1,197
												"
168, 보건복지," 백신패스를 완화하라! 백신패스는 손님패스입니다.
"," 1,170
												"
169, 보건복지," 엉망진창인 정신병원에 대한 코로나 방역 현실
"," 1,127
												"
170, 보건복지," 백신 이상반응으로 제 삶이 망가졌습니다.
"," 1,124
												"
171, 행정," 정부 공공기관의 공문의 파일형식을 HWP 가 아닌 PDF로 배포하기를 강력히 요청합니다.
"," 1,118
												"
172, 교통/건축/국토," 동작구청 지역주택조합 관리강화와 *******(*****) 집중관리를 요청드립니다.
"," 1,116
												"
173, 문화/예술/체육/언론," 골프장 갑질과 횡포 이제 정부가 나서야할때..
"," 1,116
												"
174, 보건복지," 나라의 주인인 국민으로서 적폐인 금융위, 금감원에 경고!
"," 1,093
												"
175, 보건복지," 건강하셨던 아버지의 갑작스런 사망, 접종 부작용의 사후관리가 필요합니다
"," 1,093
												"
176, 안전/환경," ***** 불법철거로 인한 입주자 피해호소
"," 1,091
												"
177, 안전/환경," 백신부작용으로 인해 급성백혈병에 걸린 저희 언니를 도와주세요.
"," 1,083
												"
178, 기타," 화이자 2차 맞으시고 기저 질환 없으셨던 어머니 께서 돌아가셨습니다
"," 1,074
												"
179, 행정," 요소수 해결해주세요
"," 1,058
												"
180, 보건복지," 저희 시아버님이 백신접종후 백혈병판정을 받았습니다
"," 1,043
												"
181, 미래," 해운진흥공사와 산업은행의 해운재건을 방해하는 행태들을 막아주세요
"," 1,042
												"
182, 인권/성평등," 불법 몰카 촬영을 수백 회 한 고등학생의 형사처벌을 촉구합니다.
"," 1,039
												"
183, 보건복지," 약물 알레르기로 백신을 맞지 못한 국민을, 국가가 사지로 내몰고 있습니다
"," 1,037
												"
184, 일자리," ""*******"" 52시간 근무제/3개월 탄력적 근로시간제 위반 및 해외…
"," 1,036
												"
185, 보건복지," 63년생 아버지가 화이자 맞고 사망하셨는데 저의 짧은 소견
"," 1,034
												"
186, 육아/교육," **** 중·고등학교 학교 법인(*** 교육 재단)    “단전 · 단수”로 인해 “등교 …
"," 1,028
												"
187, 일자리," 학교청소의 전면 용역화
"," 1,026
												"
188, 보건복지," 백신 패스 반대합니다!
"," 1,007
												"
189, 행정," 기획재정부는 일시적 2주택 답변을 신속히 진행하여 주시기 바랍니다.
"," 1,007
												"
190, 보건복지," 백신 인과성 검증 방법에 대한 설명을 요청합니다
"," 1,000
												"
191, 보건복지," 존경하는 대통령님 백신접종후 허망하게 고인이 된 누님의 한과 유가족의 눈물을 닦아 주시길 …
"," 999
												"
192, 보건복지," 백신부작용인거같아요화이자
"," 975
												"
193, 일자리," 건축사 자격시험 문제, 분명 출제 오류가 있습니다.
"," 971
												"
194, 보건복지," 백신 접종 하루만에 급성 뇌경색과 뇌출혈로 고통받는 저희 아버지 살려주세요...
"," 969
												"
195, 반려동물," 저희 집 강아지를 물려 죽인 개의 견주가 처벌 받을 수 있게 도와주세요.
"," 962
												"
196, 교통/건축/국토," 집주인의 실거주 통보를 막무가내로 무시하는 세입자...집주인은 세입자한테 제 집을 빼앗기고…
"," 961
												"
197, 정치개혁," 국회의원 금뱃지를 폐지해야 합니다
"," 960
												"
198, 인권/성평등," 정하영 김포시장께
"," 949
												"
199, 인권/성평등," 여성을 마약성 물뽕 원료를 술에 타먹여 성폭행한 약사 강력처벌과마약관리법 위반으로 처벌 을…
"," 935
												"
200, 육아/교육," 학폭위 처분까지 나온 가해자 처분을 피해자 모르게 혐의를 없앤 **시교육청
"," 909
												"
201, 기타," 무고한 사람을 붙잡아 도둑놈으로 몰아 감금, 협박하고 불법적인  배상금까지 물게한 마트 직…
"," 907
												"
202, 기타," 코로나백신 100%로 달성만 외치는 문재인 대통령님 백신후유증으로 힘들어하는 국민은 안보이…
"," 905
												"
203, 행정," 배달 대행사의 무리한 요구, 이제는 제제가 되어야할때입니다.
"," 901
												"
204, 교통/건축/국토," 김해시 ***지구 ***-* 물류센터 허가 반대합니다.
"," 899
												"
205, 보건복지," 화이자 백신맞은 아이의 죽음, 그리고 반강제적인 백신패스를 반대합니다.
"," 895
												"
206, 보건복지," 코로나 백신과 급성백혈병 발병의 상관관계 조사를 원합니다.
"," 886
												"
207, 보건복지," 허리수술 후 대소변 장애가 생겼습니다.의료사고.4개월째 입원중.가정파탄 위기입니다.도와주세…
"," 882
												"
208, 경제민주화," 공매도를 허용한 것은 OOO을 허용한 것과 같다.
"," 880
												"
209, 인권/성평등," 장애학생이 지속적 폭행을 당하지만 학교와 국가로부터 아무런 도움을 못 받고 있습니다.
"," 876
												"
210, 인권/성평등," 사내갑질등 부조리의 온상인 용인시 ** 파스제조 제약회사의 검찰조사를 강력히 촉구합니다.
"," 870
												"
211, 보건복지," 국민들의 백신불안을 해소하기 위한 제안
"," 846
												"
212, 경제민주화," 국민 많은 사람들이 참여하는 공모주청약.. 높은 청약수수료를 없애 주기를 간곡히 청원합니다
"," 844
												"
213, 행정," 졸속으로 처리된 방역패스를 철회해주십시오.
"," 836
												"
214, 반려동물," 반려동물 입양 절차 강화
"," 831
												"
215, 교통/건축/국토," 저는 화물업을하고있는 40대중반의 가장입니다.
"," 825
												"
216, 교통/건축/국토," ""개화산역세권 도시환경정비사업, 강서구청의 무리한 기부채납에 원주민만 피해&quo…
"," 817
												"
217, 보건복지," 코로나 백신 부작용땜에 횡단성  척수염 진단받으셨습니다
"," 815
												"
218, 안전/환경," 동탄 인덕원선 복선전철 건설공사 중지 요구
"," 813
												"
219, 보건복지," 사지마비이자 혈관이상자인데 백신패스 예외대상 아니랍니다.
"," 807
												"
220, 기타," 딸 셋, 어린 손자손녀 7명을 보러 코로나 백신 접종 후 사망, 인과성 인정 못 받음
"," 800
												"
221, 행정," [질병관리청]의 심사에서 왜 브라질을  <예방접종완료자 격리면제 제외국가>에 포…
"," 794
												"
222, 보건복지," 장애통합 어린이집과 유치원에 대한 불합리한 점을 개선바랍니다.
"," 793
												"
223, 보건복지," 저는 백신 2차 접종 후 급성골수성백혈병 진단을 받은 73세 어머니의 아들입니다.
"," 791
												"
224, 보건복지," 저희 어머니가 화이자 접종후 급성 백혈병으로 돌아가셨습니다
"," 769
												"
225, 보건복지," 정부를 믿고 따르다 죽은 국민을 우롱하는 정부기관을 고발합니다
"," 764
												"
226, 교통/건축/국토," 경의중앙선 운영 개선 청원
"," 760
												"
227, 보건복지," 백신 이상(거부)반응 피해자에 대한 처우, 이것이 민주주의 인가요?
"," 755
												"
228, 보건복지," 근로장애인들의 피와 땀이 서린 고용장려금...  법인대표가 착복하지 못 하도록 도와 주세요…
"," 750
												"
229, 보건복지," 신포괄수가제 제줄라처방 계속되게해주세요
"," 749
												"
230, 인권/성평등," 인천 도망친 여경을 **** 혐의로 징역형 구형하도록 해주세요.
"," 747
												"
231, 기타," **(***** *****)의 운영오류로인한 재산 침해를 고발합니다
"," 736
												"
232, 교통/건축/국토," 국민여러분,대통령님 저희 ********상인들을 살려주세요.
"," 735
												"
233, 육아/교육," **초등_무자격 *** **교장의 갑질을 인정 안하는 **시교육청 감사실(1년만에 날려버리…
"," 732
												"
234, 보건복지," **** 백신을 조속히 승인해 주세요
"," 729
												"
235, 행정," 대출규제와 치솟는 이자율어 피눈물이 납니다
"," 726
												"
236, 행정," 대출 규제로 인해 잔금 대출이 막혔습니다. 분양 아파트 입주예정자를 위한 정책이 필요합니다…
"," 724
												"
237, 보건복지," 17q12microdeletion syndrome에 대해 산정특례대상 지정을 간곡히 부탁드…
"," 721
												"
238, 기타," 우리 자영업자는 찾아주신 고마운 손님과 싸우고 싶지 않습니다.
"," 718
												"
239, 기타," 도와주세요~대형보험사 말도안되는이유로수술비지급불가
"," 718
												"
240, 인권/성평등," 여성전용 임대아파트 '성남 **마을'의 남녀공용 전환을 촉구합니다
"," 714
												"
241, 보건복지," 아스트라제네카 코로나 백신과 급성골수성 백혈병의 상관관계 조사를 요청합니다.
"," 714
												"
242, 정치개혁," 노태우 국가장 반대합니다
"," 712
												"
243, 행정," 32차 공인중개사 이의신청. 청와대 및 관할소속
"," 710
												"
244, 인권/성평등," 제2의 N번방 ****사건 근본적인 해결을위해 국제공조수사를 요청합니다'
"," 709
												"
245, 행정," 법원 등기부등본 믿고 구입한 주택 뺏기게 생겼습니다
"," 700
												"
